Date,Close,High,Low,Open,Volume,lag_1,lag_5,lag_10,MA20,MA50,RSI
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000,59.97881317138672,69.83714294433594,66.05085754394531,70.70783462524415,73.80131973266602,45.24158442661655
2020-03-16,58.524208068847656,62.60043194062402,57.99021323308223,58.46138297821733,322423600,67.16474914550781,64.31356811523438,72.20022583007812,69.70822792053222,73.52379364013672,36.84701749207116
2020-03-17,61.09754180908203,62.24526145876219,57.603628724262,59.8048414183544,324056000,58.524208068847656,68.94551849365234,69.9072036743164,68.90917167663574,73.31181167602539,40.39424113329421
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600,61.09754180908203,66.551025390625,73.14982604980469,67.97951545715333,73.05849014282227,39.022300433295165
2020-03-19,59.14518356323242,61.09268759746544,58.62085583762495,59.7758272676577,271857200,59.60186004638672,59.97881317138672,70.7770767211914,67.0671365737915,72.80283256530761,38.59131793930091
2020-03-20,55.39033126831055,60.84866031438535,55.09071377836536,59.72509749228031,401693200,59.14518356323242,67.16474914550781,69.83714294433594,66.05460357666016,72.44893692016602,35.15349024530012
2020-03-23,54.21360778808594,55.21152404138324,51.37208822817037,55.11004159498472,336752800,55.39033126831055,58.524208068847656,64.31356811523438,65.16288223266602,72.040458984375,34.12744957910223
2020-03-24,59.65260696411133,59.84832336499044,56.61295251663222,57.11070131069981,287531200,54.21360778808594,61.09754180908203,68.94551849365234,64.66513347625732,71.73738670349121,42.483781883862356
2020-03-25,59.323997497558594,62.399894457247456,59.029213577289134,60.58770003932158,303602000,59.65260696411133,59.60186004638672,66.551025390625,64.09574222564697,71.39577827453613,42.13599735194122
2020-03-26,62.44580841064453,62.50379627651141,59.52696661828964,59.56562765348039,252087200,59.323997497558594,59.14518356323242,59.97881317138672,63.913557624816896,71.13724021911621,46.607738117903885
2020-03-27,59.86040878295898,61.8248250722316,59.69368630258447,61.07095335601888,204216800,62.44580841064453,55.39033126831055,67.16474914550781,63.604035186767575,70.83345428466797,43.602458440516735
2020-03-30,61.56870269775391,61.74025873047765,60.26150553022684,60.58528707882383,167976400,59.86040878295898,54.21360778808594,58.524208068847656,63.072459030151364,70.5450325012207,46.07659556654707
2020-03-31,61.44305419921875,63.42438602597824,60.88973245903772,61.75958725464871,197002000,61.56870269775391,59.65260696411133,61.09754180908203,62.649251556396486,70.2372721862793,45.917038202521944
2020-04-01,58.21010208129883,60.09719995282628,57.78000823267317,59.56079010801558,176218400,61.44305419921875,59.323997497558594,59.60186004638672,61.90226535797119,69.8752660369873,41.8968659678361
2020-04-02,59.181427001953125,59.234584992288006,57.241171415485205,58.072365060446906,165934000,58.21010208129883,62.44580841064453,59.14518356323242,61.322482872009275,69.52723869323731,43.49748692738868
2020-04-03,58.33091354370117,59.3674871060243,57.7413457159516,58.66677342106095,129880000,59.181427001953125,59.86040878295898,55.39033126831055,60.74717140197754,69.15482482910156,42.396158645741394
2020-04-06,63.419559478759766,63.57419624282321,60.256676873255664,60.62394564001491,201820400,58.33091354370117,61.56870269775391,54.21360778808594,60.70247097015381,68.88861946105958,50.47553990264071
